slug,provider,title,category,kind,price,currency,billing_period,commitment_months,renewal_price,discount_percent,coupon_code,valid_until,source_url,captured_at,evidence_quote,evidence_location,source_sha256
portfoliobox-professional,portfoliobox,Professional,Web hosting,regular_price,15.9,USD,month,,,,,,https://www.portfoliobox.net/pricing,2026-09-23T06:31:20Z,15.9 /month,configured field pattern: price,fa0d591efcbe9d8bda4bfd664e97d1f918ff17a098fda937b43b406f176958dd
portfoliobox-personal,portfoliobox,Personal,Web hosting,regular_price,8.9,USD,month,,,,,,https://www.portfoliobox.net/pricing,2026-09-23T06:31:20Z,8.9 /month,configured field pattern: price,fa0d591efcbe9d8bda4bfd664e97d1f918ff17a098fda937b43b406f176958dd
voog-starter,voog,Starter,Web hosting,regular_price,1.25,EUR,month,,,,,,https://www.voog.com/pricing,2026-09-23T06:31:24Z,1.25/mo,configured field pattern: price,bdeda9a208bd104cb8b9eec4646a8128a92a7b97b915f0242be683d7367408f4
voog-standard,voog,Standard,Web hosting,regular_price,11.0,EUR,month,,,,,,https://www.voog.com/pricing,2026-09-23T06:31:24Z,11/mo,configured field pattern: price,bdeda9a208bd104cb8b9eec4646a8128a92a7b97b915f0242be683d7367408f4
voog-plus,voog,Plus,Web hosting,regular_price,17.0,EUR,month,,,,,,https://www.voog.com/pricing,2026-09-23T06:31:24Z,17/mo,configured field pattern: price,bdeda9a208bd104cb8b9eec4646a8128a92a7b97b915f0242be683d7367408f4
voog-premium,voog,Premium,Web hosting,regular_price,39.0,EUR,month,,,,,,https://www.voog.com/pricing,2026-09-23T06:31:24Z,39/mo,configured field pattern: price,bdeda9a208bd104cb8b9eec4646a8128a92a7b97b915f0242be683d7367408f4
beehiiv-scale,beehiiv,Scale,Web hosting,regular_price,43.0,USD,month,,,,,,https://www.beehiiv.com/pricing,2026-09-23T06:31:25Z,$43 per month,configured field pattern: price,dfb3b6068b17fcae447db505530470460be678e1f65873f91af29143306d27a6
beehiiv-max,beehiiv,Max,Web hosting,regular_price,96.0,USD,month,,,,,,https://www.beehiiv.com/pricing,2026-09-23T06:31:26Z,$96 per month,configured field pattern: price,dfb3b6068b17fcae447db505530470460be678e1f65873f91af29143306d27a6
wpmu-dev-hosting-unlimited,wpmu-dev,Hosting Unlimited,Web hosting,regular_price,15.0,USD,month,,,,,,https://wpmudev.com/pricing/,2026-09-23T06:31:26Z,$15/month,configured field pattern: price,0ea7bc51a9901b7925119347ac58114c2f7e1ee589dcb75dc00c4c987827ec5b
wpmu-dev-hosting-dedicated,wpmu-dev,Hosting Dedicated,Dedicated hosting,regular_price,4.0,USD,site,,,,,,https://wpmudev.com/pricing/,2026-09-23T06:31:26Z,$4 / site,configured field pattern: price,0ea7bc51a9901b7925119347ac58114c2f7e1ee589dcb75dc00c4c987827ec5b
wpmu-dev-hosting-unlimited-per-server,wpmu-dev,Hosting Unlimited (per server),Web hosting,regular_price,15.0,USD,server,,,,,,https://wpmudev.com/pricing/,2026-09-23T06:31:26Z,$15 / server,configured field pattern: price,0ea7bc51a9901b7925119347ac58114c2f7e1ee589dcb75dc00c4c987827ec5b
wpmu-dev-pro-basic,wpmu-dev,Pro Basic,WordPress plugins,regular_price,50.0,USD,year,,,,,,https://wpmudev.com/pricing/,2026-09-23T06:31:26Z,50/year,configured field pattern: price,0ea7bc51a9901b7925119347ac58114c2f7e1ee589dcb75dc00c4c987827ec5b
wpmu-dev-pro-standard,wpmu-dev,Pro Standard,WordPress plugins,regular_price,75.0,USD,year,,,,,,https://wpmudev.com/pricing/,2026-09-23T06:31:26Z,75/year,configured field pattern: price,0ea7bc51a9901b7925119347ac58114c2f7e1ee589dcb75dc00c4c987827ec5b
wpmu-dev-pro-plus,wpmu-dev,Pro Plus,WordPress plugins,regular_price,100.0,USD,year,,,,,,https://wpmudev.com/pricing/,2026-09-23T06:31:26Z,100/year,configured field pattern: price,0ea7bc51a9901b7925119347ac58114c2f7e1ee589dcb75dc00c4c987827ec5b
nhost-pro,nhost,Pro,Application hosting,regular_price,25.0,USD,month,,,,,,https://nhost.io/pricing,2026-09-23T06:31:27Z,$25 / month,configured field pattern: price,a5533d68e3be1c1079daa07cf612038e70d7dc9c79a7e3e7e7fdd50ebff7dd86
nhost-team,nhost,Team,Application hosting,regular_price,599.0,USD,month,,,,,,https://nhost.io/pricing,2026-09-23T06:31:27Z,$599 / month,configured field pattern: price,a5533d68e3be1c1079daa07cf612038e70d7dc9c79a7e3e7e7fdd50ebff7dd86
turso-developer,turso,Developer,Application hosting,regular_price,4.99,USD,month,,,,,,https://turso.tech/pricing,2026-09-23T06:31:28Z,4.99/month,configured field pattern: price,dafb3803effc84f95b670b96a3290d89b238b73ebd10c9268c900ab317fad497
turso-scaler,turso,Scaler,Application hosting,regular_price,24.92,USD,month,,,,,,https://turso.tech/pricing,2026-09-23T06:31:28Z,24.92/month,configured field pattern: price,dafb3803effc84f95b670b96a3290d89b238b73ebd10c9268c900ab317fad497
turso-scaler-pro,turso,Scaler Pro,Application hosting,regular_price,416.58,USD,month,,,,,,https://turso.tech/pricing,2026-09-23T06:31:28Z,416.58/month,configured field pattern: price,dafb3803effc84f95b670b96a3290d89b238b73ebd10c9268c900ab317fad497
eurodns-wordpress-hosting,eurodns,WordPress hosting,Web hosting,regular_price,5.24,EUR,month,,,,,,https://www.eurodns.com/,2026-09-23T06:31:30Z,€5.24 / month,configured field pattern: price,b26b174abbdfab6e4d4267dc07dfcad21f3c88ca980f3d3abca10841dd2837cc
eurodns-shared-hosting,eurodns,Shared hosting,Web hosting,regular_price,2.09,EUR,month,,,,,,https://www.eurodns.com/,2026-09-23T06:31:30Z,€2.09 / month,configured field pattern: price,b26b174abbdfab6e4d4267dc07dfcad21f3c88ca980f3d3abca10841dd2837cc
eurodns-email-cloud-suite,eurodns,Email Cloud Suite,Email hosting,regular_price,1.04,EUR,month,,,,,,https://www.eurodns.com/,2026-09-23T06:31:30Z,€1.04 / month,configured field pattern: price,b26b174abbdfab6e4d4267dc07dfcad21f3c88ca980f3d3abca10841dd2837cc
eurodns-com-registration,eurodns,.com registration,Domains,promotion,10.99,EUR,year,,,,,,https://www.eurodns.com/,2026-09-23T06:31:30Z,€10.99 /yr,configured field pattern: price,b26b174abbdfab6e4d4267dc07dfcad21f3c88ca980f3d3abca10841dd2837cc
